City_ID,City,Lat,Lng,Max Temp,Max Temp (c),Humidity,Cloudiness,Wind Speed,Country,Date
397,blagoyevo,63.3667,47.9167,266.62,-6.529999999999973,92,100,3.41,RU,1674818784
398,lasa,46.6166,10.7002,275.38,2.230000000000018,58,22,2.2,IT,1674818785
399,umm lajj,25.0213,37.2685,298.18,25.03000000000003,50,1,6.08,SA,1674818785
400,marshall,34.3834,-86.3333,273.21,0.060000000000002274,72,0,0.0,US,1674818785
401,comodoro rivadavia,-45.8667,-67.5,289.07,15.920000000000016,39,0,8.23,AR,1674818786
402,tessalit,20.1986,1.0114,292.63,19.480000000000018,13,24,5.07,ML,1674818786
403,lixourion,38.2019,20.4314,285.15,12.0,66,40,4.12,GR,1674818787
404,dunedin,-45.8742,170.5036,286.37,13.220000000000027,76,38,3.59,NZ,1674818760
405,mmathubudukwane,-24.6,26.4333,307.68,34.53000000000003,23,0,1.85,BW,1674818787
406,erzin,36.9559,36.2,288.9,15.75,36,43,2.25,TR,1674818787
407,usinsk,65.9939,57.5281,265.72,-7.42999999999995,93,94,7.08,RU,1674818788
408,yuzhno-sukhokumsk,44.6581,45.6436,277.41,4.260000000000048,54,7,6.73,RU,1674818788
409,merauke,-8.4667,140.3333,298.91,25.760000000000048,86,100,0.86,ID,1674818718
410,bose,45.4612,8.0137,275.79,2.640000000000043,79,95,1.32,IT,1674818789
411,bhadrak,21.0633,86.5054,303.44,30.29000000000002,30,42,4.79,IN,1674818789
412,bandar-e lengeh,26.5579,54.8807,285.21,12.060000000000002,94,100,6.17,IR,1674818789
413,pimentel,-6.8367,-79.9342,295.31,22.160000000000025,78,0,3.6,PE,1674818790
414,ilulissat,69.2167,-51.1,260.16,-12.989999999999952,61,20,11.32,GL,1674818790
415,gold coast,-28.0,153.4333,299.82,26.670000000000016,89,94,0.51,AU,1674818790
416,hirna,9.2167,41.1,298.21,25.060000000000002,31,6,1.96,ET,1674818791
417,maceio,-9.6658,-35.7353,301.84,28.689999999999998,74,40,4.63,BR,1674818791
418,morros,-9.4467,-46.3003,297.18,24.03000000000003,78,96,1.12,BR,1674818791
419,yomou,7.5603,-9.2653,302.86,29.710000000000036,56,64,1.2,GN,1674818792
420,ballina,-28.8667,153.5667,296.49,23.340000000000032,98,88,3.57,AU,1674818792
421,conceicao do araguaia,-8.2578,-49.2647,296.77,23.620000000000005,92,98,1.4,BR,1674818793
422,mangan,27.5167,88.5333,292.88,19.730000000000018,60,56,2.24,IN,1674818793
423,hokitika,-42.7167,170.9667,289.6,16.450000000000045,81,56,2.32,NZ,1674818794
424,okhotsk,59.3833,143.3,257.88,-15.269999999999982,77,100,6.66,RU,1674818794
425,wasilla,61.5814,-149.4394,272.6,-0.5499999999999545,91,100,1.54,US,1674818794
426,pahrump,36.2083,-115.9839,277.18,4.03000000000003,58,1,0.79,US,1674818795
427,sokolo,14.7328,-6.1219,301.91,28.760000000000048,13,99,7.23,ML,1674818795
428,nelson bay,-32.7167,152.15,298.18,25.03000000000003,100,100,8.05,AU,1674818796
429,yuancheng,36.652,107.7896,265.8,-7.349999999999966,21,0,1.37,CN,1674818796
430,hamilton,39.1834,-84.5333,268.95,-4.199999999999989,83,0,2.57,US,1674818797
431,morgan city,29.6994,-91.2068,275.15,2.0,100,0,0.0,US,1674818797
432,noumea,-22.2763,166.4572,300.37,27.220000000000027,99,97,3.89,NC,1674818798
433,arcos,-20.2819,-45.5394,293.5,20.350000000000023,92,90,2.7,BR,1674818798
434,sechura,-5.5569,-80.8222,294.6,21.450000000000045,85,64,2.38,PE,1674818798
435,port macquarie,-31.4333,152.9167,292.96,19.810000000000002,85,100,1.62,AU,1674818799
436,domoni,-12.2569,44.5319,302.74,29.590000000000032,71,43,5.95,KM,1674818799
437,mantua,45.1667,10.7833,280.42,7.270000000000039,61,100,3.13,IT,1674818800
438,richards bay,-28.783,32.0377,302.39,29.24000000000001,57,49,4.82,ZA,1674818800
439,menongue,-14.6585,17.691,298.54,25.390000000000043,60,84,1.63,AO,1674818801
440,sarangani,5.4033,125.4636,300.8,27.650000000000034,80,100,6.98,PH,1674818801
441,eureka,40.8021,-124.1637,277.49,4.340000000000032,78,4,1.37,US,1674818801
442,acarau,-2.8856,-40.12,298.54,25.390000000000043,79,75,2.96,BR,1674818802
443,champerico,14.3,-91.9167,297.37,24.220000000000027,74,38,1.85,GT,1674818802
444,tanhacu,-14.0214,-41.2481,297.23,24.08000000000004,70,88,2.57,BR,1674818802
445,sioux lookout,50.1001,-91.917,259.19,-13.95999999999998,85,100,1.54,CA,1674818803
446,alice town,25.7167,-79.3,295.08,21.930000000000007,83,100,7.99,BS,1674818803
447,raton,36.9034,-104.4391,262.34,-10.810000000000002,72,0,2.06,US,1674818804
